ID ,Nme in English,Name in Amharic,Position,Place of Assignment,Detail,,
1,Abdi Muhammed Hassen,?? ??? ??? ???,?? ??????,???? ???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
2,Abdisa Yadetta Muletta,?? ???? ??? ???,?/? ???,???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
3,Abdo Mehammed Reshid,?? ??? ???? ???,?/?? ??????,???? ????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
4,Abi W/Mesqel Bayu,?? ??  ?/???? ??,?? ??????,???.???????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
5,Dr.Abrham Tekeste Meskel,?/? ????? ???? ????,?/???,?????? ???? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
6,Adafrie Bizuneh,?? ???? ????,?? ?????,?????  ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
7,Adamu Ayana Gossa,?? ??? ??? ??,?/???,??? ???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
8,Shek Adem Oumer Habib,?? ??? ??? ???,??????,???? ???? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
9,Adgu Maru,?? ??? ??,?? ???????,???? ???? ???? ?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
10,Adil Ahmed Abdulahi,?? ??? ???? ?????,?/???,???? ?/?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
11,Dr. Adissalem Balema Abay,?/? ?????? ??? ???,?? ??????,???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
12,Adissu Mengistu,?? ??? ?????,?/?????,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
13,Ahmed Abegisa Abaourgessa,?? ???? ???? ??????,?/? ???,??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
14,Ahmed Shide Mehammed,?? ???? ?? ????,?/? ???,????? ???? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
15, Ahmed Toussa Dalu,?? ???? ?? ??,?/???,??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
16, Alebachew Nigussie Shiwarega,?? ????? ??? ????,?/???,???? ?/? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
17, Alemayehu Goujo Loquie,?? ????? ?? ??,?/? ???,????? ???? ?/?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
